,responsibility_metric,responsibility_column,w_responsibility,capacity_metric,capacity_column,w_capacity,needs_metric,needs_column,w_needs,engagement_metric,engagement_column,w_engagement
RUN282,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.5
RUN283,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.4
RUN284,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.3
RUN285,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN Index,0.2
RUN286,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.6,UN Multilateral Engagement Score,UN Index,0.1
RUN287,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN288,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN289,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN290,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN291,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN292,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN293,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN294,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN295,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN296,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN297,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN298,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN299,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.5,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN300,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.5,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN301,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income minus debt,GNI_debt_avg,0.6,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN302,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN303,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN304,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN305,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN306,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN307,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN308,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN309,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN310,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN311,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN312,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN313,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN314,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN315,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN316,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income minus debt,GNI_debt_avg,0.5,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN317,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN318,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN319,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN320,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN321,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN322,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN323,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN324,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN325,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN326,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income minus debt,GNI_debt_avg,0.4,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN327,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN328,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN329,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN330,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN331,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN332,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income minus debt,GNI_debt_avg,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN333,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN334,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN335,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income minus debt,GNI_debt_avg,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN336,Cumulative Emissions since 1850,X1850_2024,0.7,Gross National Income minus debt,GNI_debt_avg,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN337,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.7
RUN338,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.6
RUN339,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.5
RUN340,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.4
RUN341,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.3
RUN342,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.2
RUN343,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.7,UN Multilateral Engagement Score,UN Index,0.1
RUN344,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.6
RUN345,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.5
RUN346,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.4
RUN347,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.3
RUN348,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.2
RUN349,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.1
RUN350,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN351,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN352,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN353,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN354,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN355,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN356,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN357,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN358,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN359,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN360,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN361,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN362,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN363,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN364,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income per capita,GNI_PPP_pc_avg,0.7,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN365,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.6
RUN366,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.5
RUN367,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.4
RUN368,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.3
RUN369,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.2
RUN370,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.1
RUN371,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN372,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN373,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN374,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN375,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN376,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN377,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN378,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN379,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN380,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN381,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN382,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN383,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN384,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN385,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income per capita,GNI_PPP_pc_avg,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN386,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN387,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN388,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN389,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN390,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN391,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN392,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN393,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN394,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN395,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN396,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN397,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN398,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN399,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN400,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income per capita,GNI_PPP_pc_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN401,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN402,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN403,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN404,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN405,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN406,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN407,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN408,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN409,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN410,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income per capita,GNI_PPP_pc_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN411,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income per capita,GNI_PPP_pc_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
